"comment","matching","flags"
"Applebot-Extended (AI)","src_net_crawler_apple & http_user_agent_crawler_applebot_extended","bot|crawler|crawler_ai_data|crawler_verified|org_apple"
"OpenAI Searchbot","src_net_crawler_openai_search & http_user_agent_crawler_openai_search","bot|crawler|crawler_search|crawler_ai_search|crawler_verified|org_openai"
"OpenAI ChatGPT-User","src_net_crawler_openai_user & http_user_agent_crawler_openai_user","bot|crawler|crawler_user|crawler_ai_user|crawler_verified|org_openai"
"OpenAI AI-Data","src_net_crawler_openai_aidata & http_user_agent_crawler_openai_aidata","bot|crawler|crawler_ai_data|crawler_verified|org_openai"
"Perplexity User","src_net_crawler_perplexity_user & http_user_agent_crawler_perplexity_user","bot|crawler|crawler_user|crawler_ai_user|crawler_verified|org_perplexity"
"Perplexity AI-Data","src_net_crawler_perplexity_aidata & http_user_agent_crawler_perplexity_aidata","bot|crawler|crawler_ai_data|crawler_verified|org_perplexity"
"Mistral AI","src_net_crawler_mistralai & http_user_agent_crawler_mistral_user","bot|crawler|crawler_user|crawler_ai_user|crawler_ai_data|crawler_verified|org_mistral"
"DuckDuckGo AI-User","src_net_crawler_duckduckgo_aiuser & http_user_agent_crawler_duckduckgo_aiuser","bot|crawler|crawler_user|crawler_ai_user|crawler_verified|org_duckduckgo"
"Anthropic AI #TODO","http_user_agent_crawler_anthropic","bot|crawler|crawler_ai_data|org_anthropic"
"Amazon General/AI-Data","src_net_crawler_amazon_main & http_user_agent_crawler_amazon_main","bot|crawler|crawler_ai_data|crawler_verified|org_amazon"
"Meta AI-Data #TODO","http_user_agent_crawler_meta_aidata","bot|crawler|crawler_ai_data|org_meta"
"Alibaba #TODO","http_user_agent_crawler_alibaba_aidata","bot|crawler|crawler_ai_data|org_alibaba"
"EXA AI-Search #TODO","http_user_agent_crawler_exa_aisearch","bot|crawler|crawler_ai_search|org_exa"
"Cohere-AI #TODO","http_user_agent_crawler_cohere_ai","bot|crawler|crawler_user|crawler_ai_user|crawler_ai_data|org_cohere"
"Google-Extended","src_net_crawler_google_common & http_user_agent_crawler_google_aidata1","bot|crawler|crawler_ai_data|crawler_verified|org_google"
"Google-LLM-Research","src_net_crawler_google_common & http_user_agent_crawler_google_aidata2","bot|crawler|crawler_ai_data|crawler_verified|org_google"
"Google Gemini Deep-Research","src_net_crawler_google_common & http_user_agent_crawler_google_aidata3","bot|crawler|crawler_ai_data|crawler_verified|org_google"
"Google-CloudVertexBot","src_net_crawler_google_common & http_user_agent_crawler_google_aiuser1","bot|crawler|crawler_user|crawler_ai_user|crawler_verified|org_google"
"GoogleAI-ContentFetcher","src_net_crawler_google_common & http_user_agent_crawler_google_aiuser1","bot|crawler|crawler_user|crawler_ai_user|crawler_verified|org_google"
"","",""
