"comment","matching","flags"
"Applebot","src_net_crawler_apple & http_user_agent_crawler_applebot","bot|bot_crawler|crawler_search|crawler_verified|org_apple"
"DuckDuckGo Search","src_net_crawler_duckduckgo_search & http_user_agent_crawler_duckduckgo_search","bot|bot_crawler|crawler_search|crawler_verified|org_duckduckgo"
"Amazon User","src_net_crawler_amazon_user & http_user_agent_crawler_amazon_user","bot|bot_crawler|crawler_user|crawler_verified|org_amazon"
"Meta ADs #TODO","http_user_agent_crawler_meta_ads","bot|bot_crawler|crawler_ads|crawler_socialmedia|org_meta"
"Meta User #TODO","http_user_agent_crawler_meta_user","bot|bot_crawler|crawler_user|crawler_socialmedia|org_meta"
"Meta Facebook #TODO","http_user_agent_crawler_meta_facebook","bot|bot_crawler|crawler_socialmedia|org_meta"
"Googlebot","src_net_crawler_google_common & http_user_agent_crawler_google_search","bot|bot_crawler|crawler_search|crawler_verified|org_google"
"Google Image","src_net_crawler_google_common & http_user_agent_crawler_google_image","bot|bot_crawler|crawler_search|crawler_verified|org_google"
"Google Video","src_net_crawler_google_common & http_user_agent_crawler_google_video","bot|bot_crawler|crawler_search|crawler_verified|org_google"
"Google User-Crawlers #TODO","(src_net_crawler_google_user1 | src_net_crawler_google_user2)","bot|bot_crawler|crawler_user|crawler_verified|org_google"
"Google ADs","src_net_crawler_google_special & (http_user_agent_crawler_google_ads1 | http_user_agent_crawler_google_ads2)","bot|bot_crawler|crawler_ads|crawler_verified|org_google"
"Google Store","src_net_crawler_google_common & http_user_agent_crawler_google_store","bot|bot_crawler|crawler_ecommerce|crawler_verified|org_google"
"Google Special-Crawlers","src_net_crawler_google_special & http_user_agent_crawler_google_fallback","bot|bot_crawler|crawler_verified|org_google"
"Google Fallback","src_net_crawler_google_common & http_user_agent_crawler_google_fallback","bot|bot_crawler|crawler_verified|org_google"
"Bingbot","src_net_crawler_microsoft_bing & http_user_agent_crawler_microsoft_bing","bot|bot_crawler|crawler_search|crawler_verified|org_microsoft"
"Microsoft MSN-Bot #TODO-CHECK-NET","src_net_crawler_microsoft_bing & http_user_agent_crawler_microsoft_msn","bot|bot_crawler|crawler_search|crawler_verified|org_microsoft"
"Stripe Webhooks","src_net_crawler_ecom_stripe & http_user_agent_ecom_stripe","bot|bot_crawler|crawler_ecommerce|crawler_verified|org_stripe"
"AHrefs","src_net_crawler_ahrefs & http_user_agent_crawler_ahrefs","bot|bot_crawler|crawler_search|crawler_verified|org_ahrefs"
"CommonCrawl","src_net_crawler_commoncrawl & http_user_agent_crawler_commoncrawl","bot|bot_crawler|crawler_verified|org_commoncrawl"
"Qwant","src_net_crawler_qwant & http_user_agent_crawler_qwant","bot|bot_crawler|crawler_verified|org_qwant"
"Seekport","src_net_crawler_seekport & http_user_agent_crawler_seekport","bot|bot_crawler|crawler_verified|org_seekport"
