"comment","matching","flags"
"Applebot-Extended (AI)","src_net_crawler_apple & http_user_agent_crawler_applebot_extended","crawler|crawler_ai_data|org_apple"
"Applebot","src_net_crawler_apple & http_user_agent_crawler_applebot","crawler|crawler_search|org_apple"
"OpenAI Searchbot","src_net_crawler_openai_search & http_user_agent_crawler_openai_search","crawler|crawler_search|crawler_ai_search|org_openai"
"OpenAI ChatGPT-User","src_net_crawler_openai_user & http_user_agent_crawler_openai_user","crawler|crawler_user|crawler_ai_user|org_openai"
"OpenAI AI-Data","src_net_crawler_openai_aidata & http_user_agent_crawler_openai_aidata","crawler|crawler_ai_data|org_openai"
"Perplexity User","src_net_crawler_perplexity_user & http_user_agent_crawler_perplexity_user","crawler|crawler_user|crawler_ai_user|org_perplexity"
"Perplexity AI-Data","src_net_crawler_perplexity_aidata & http_user_agent_crawler_perplexity_aidata","crawler|crawler_ai_data|org_perplexity"
"Mistral AI","src_net_crawler_mistralai & http_user_agent_crawler_mistral_user","crawler|crawler_user|crawler_ai_user|crawler_ai_data|org_mistral"
"DuckDuckGo AI-User","src_net_crawler_duckduckgo_aiuser & http_user_agent_crawler_duckduckgo_aiuser","crawler|crawler_user|crawler_ai_user|org_duckduckgo"
"DuckDuckGo Search","src_net_crawler_duckduckgo_search & http_user_agent_crawler_duckduckgo_search","crawler|crawler_search|org_duckduckgo"
"Anthropic AI #TODO","http_user_agent_crawler_anthropic","crawler|crawler_ai_data|org_anthropic"
"Amazon General/AI-Data","src_net_crawler_amazon_main & http_user_agent_crawler_amazon_main","crawler|crawler_ai_data|org_amazon"
"Amazon User","src_net_crawler_amazon_user & http_user_agent_crawler_amazon_user","crawler|crawler_user|org_amazon"
"Meta AI-Data #TODO","http_user_agent_crawler_meta_aidata","crawler|crawler_ai_data|org_meta"
"Meta ADs #TODO","http_user_agent_crawler_meta_ads","crawler|crawler_ads|crawler_socialmedia|org_meta"
"Meta User #TODO","http_user_agent_crawler_meta_user","crawler|crawler_user|crawler_socialmedia|org_meta"
"Meta Facebook #TODO","http_user_agent_crawler_meta_facebook","crawler|crawler_socialmedia|org_meta"
"Alibaba #TODO","http_user_agent_crawler_alibaba_aidata","crawler|crawler_ai_data|org_alibaba"
"EXA AI-Search #TODO","http_user_agent_crawler_exa_aisearch","crawler|crawler_ai_search|org_exa"
"Cohere-AI #TODO","http_user_agent_crawler_cohere_ai","crawler|crawler_user|crawler_ai_user|crawler_ai_data|org_cohere"
"Google-Extended","src_net_crawler_google_common & http_user_agent_crawler_google_aidata1","crawler|crawler_ai_data|org_google"
"Google-LLM-Research","src_net_crawler_google_common & http_user_agent_crawler_google_aidata2","crawler|crawler_ai_data|org_google"
"Google Gemini Deep-Research","src_net_crawler_google_common & http_user_agent_crawler_google_aidata3","crawler|crawler_ai_data|org_google"
"Google-CloudVertexBot","src_net_crawler_google_common & http_user_agent_crawler_google_aiuser1","crawler|crawler_user|crawler_ai_user|org_google"
"GoogleAI-ContentFetcher","src_net_crawler_google_common & http_user_agent_crawler_google_aiuser1","crawler|crawler_user|crawler_ai_user|org_google"
"Googlebot","src_net_crawler_google_common & http_user_agent_crawler_google_search","crawler|crawler_search|org_google"
"Google Image","src_net_crawler_google_common & http_user_agent_crawler_google_image","crawler|crawler_search|org_google"
"Google Video","src_net_crawler_google_common & http_user_agent_crawler_google_video","crawler|crawler_search|org_google"
"Google Special-Crawlers #TODO","src_net_crawler_google_special","crawler|crawler_ads|org_google"
"Google User-Crawlers #TODO","(src_net_crawler_google_user1 | src_net_crawler_google_user2)","crawler|crawler_user|org_google"
"Google ADs","src_net_crawler_google_special & (http_user_agent_crawler_google_ads1 | http_user_agent_crawler_google_ads2)","crawler|crawler_ads|org_google"
"Google Store","src_net_crawler_google_common & http_user_agent_crawler_google_store","crawler|crawler_ecommerce|org_google"
"Google Fallback","src_net_crawler_google_common & http_user_agent_crawler_google_fallback","crawler|org_google"
"Bingbot","src_net_crawler_microsoft_bing & http_user_agent_crawler_microsoft_bing","crawler|crawler_search|org_microsoft"
"Microsoft MSN-Bot #TODO-CHECK-NET","src_net_crawler_microsoft_bingbot & http_user_agent_crawler_microsoft_msn","crawler|crawler_search|org_microsoft"
"","",""
