"asn","match_name","organization","comment"
"2","src_asn_edu_","University of Delaware",""
"3","src_asn_edu_","Massachusetts Institute of Technology",""
"4","src_asn_edu_","University of Southern California - AS4",""
"8","src_asn_edu_","Rice University",""
"9","src_asn_edu_","Carnegie Mellon University",""
"12","src_asn_edu_","New York University",""
"14","src_asn_edu_","Columbia University",""
"17","src_asn_edu_","PURDUE",""
"18","src_asn_edu_","UTEXAS",""
"20","src_asn_edu_","University of Rochester",""
"25","src_asn_edu_","UCB",""
"26","src_asn_edu_","Cornell",""
"27","src_asn_edu_","UMDNET",""
"31","src_asn_edu_","California Institute of Technology",""
"32","src_asn_edu_","Stanford University",""
"34","src_asn_edu_","University of Delaware",""
"38","src_asn_edu_","UIUC",""
"46","src_asn_edu_","Rutgers University",""
"47","src_asn_edu_","University of Southern California - AS47",""
"52","src_asn_edu_","University of California Los Angeles",""
"55","src_asn_edu_","UPENN",""
"59","src_asn_edu_","University of Wisconsin - Madison",""
"73","src_asn_edu_","University of Washington",""
"77","src_asn_edu_","Johns Hopkins APL",""
"87","src_asn_edu_","Indiana University",""
"88","src_asn_edu_","Princeton University",""
"98","src_asn_edu_","The Rockefeller University",""
"103","src_asn_edu_","Northwestern University",""
"104","src_asn_edu_","University of Colorado at Boulder",""
"111","src_asn_edu_","Boston University",""
"131","src_asn_edu_","University of California Santa Barbara",""
"137","src_asn_edu_","GARR",""
"156","src_asn_edu_","NORTHEASTERN-GW-AS",""
"159","src_asn_edu_","Ohio State University",""
"160","src_asn_edu_","University of Chicago",""
"167","src_asn_edu_","Wesleyan University",""
"194","src_asn_edu_","University Corporation for Atmospheric Research",""
"205","src_asn_edu_","Montclair State University",""
"217","src_asn_edu_","UMN System Network",""
"225","src_asn_edu_","VIRGINIA-AS",""
"231","src_asn_edu_","Michigan State University",""
"239","src_asn_edu_","University of Toronto",""
"299","src_asn_edu_","UCI",""
"302","src_asn_edu_","Baylor College of Medicine CHAT",""
"378","src_asn_edu_","Israel InterUniversity Computation Center",""
"553","src_asn_edu_","BelWü",""
"557","src_asn_edu_","University of Maine System",""
"679","src_asn_edu_","Technische Universitat Wien",""
"680","src_asn_edu_","DFN Deutsches Forschungsnetz e.V.",""
"760","src_asn_edu_","Vienna University Computer Center",""
"786","src_asn_edu_","Janet",""
"802","src_asn_edu_","York University",""
"823","src_asn_edu_","University of Western Ontario",""
"1109","src_asn_edu_","Universitaet Salzburg",""
"1110","src_asn_edu_","University of Innsbruck",""
"1111","src_asn_edu_","Universitaet Klagenfurt",""
"1113","src_asn_edu_","Technische Universitaet Graz",""
"1114","src_asn_edu_","Universitaet Graz",""
"1117","src_asn_edu_","Universitaet fur Bodenkultur Wien",""
"1133","src_asn_edu_","University Twente",""
"1201","src_asn_edu_","Old Dominion University",""
"1205","src_asn_edu_","University Linz",""
"1224","src_asn_edu_","National Center for Supercomputing Applications",""
"1249","src_asn_edu_","University of Massachusetts - AMHERST",""
"1252","src_asn_edu_","University of Nebraska Medical Center",""
"1289","src_asn_edu_","Colgate University",""
"1307","src_asn_edu_","Renater",""
"1312","src_asn_edu_","Virginia Polytechnic Institute and State Univ.",""
"1638","src_asn_edu_","Mott Community College - Main Campus",""
"1659","src_asn_edu_","Taiwan Academic Network(TANet)",""
"1706","src_asn_edu_","The University of Arizona",""
"1736","src_asn_edu_","Marquette University",""
"1742","src_asn_edu_","Harvard University",""
"1776","src_asn_edu_","WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business",""
"1851","src_asn_edu_","The University of Adelaide",""
"1853","src_asn_edu_","ACOnet",""
"1926","src_asn_edu_","Tampere University Foundation",""
"1967","src_asn_edu_","Middle East Technical University",""
"1970","src_asn_edu_","Texas A&M University",""
"2025","src_asn_edu_","UTOLEDO",""
"2055","src_asn_edu_","Louisiana State University",""
"2108","src_asn_edu_","CARNet",""
"2269","src_asn_edu_","Renater",""
"2496","src_asn_edu_","University of Kansas",""
"2501","src_asn_edu_","UTnet",""
