"asn","match_name","organization","comment"
"559","src_asn_hosting_","SWITCH",""
"834","src_asn_hosting_","IPXO LLC",""
"906","src_asn_hosting_","DMIT Cloud Infrastructure",""
"917","src_asn_hosting_","Misaka.io",""
"965","src_asn_hosting_","Webhosting Holdings LLC",""
"971","src_asn_hosting_","PureVoltage",""
"984","src_asn_hosting_","OWS",""
"1002","src_asn_hosting_","Bytefilter LLC",""
"1101","src_asn_hosting_","Not SURF Net",""
"1836","src_asn_hosting_","green.ch AG",""
"2285","src_asn_hosting_","OCB Orange Cloud Business CDN ASN",""
"2500","src_asn_hosting_","WIDE Project",""
"3223","src_asn_hosting_","VOXILITY",""
"3236","src_asn_hosting_","SERVER.UA",""
"4851","src_asn_hosting_","Host Networks",""
"5626","src_asn_hosting_","ONITELECOM - INFOCOMUNICACOES S.A.",""
"6597","src_asn_hosting_","Coloblox Data Centers",""
"6698","src_asn_hosting_","Virtual Systems AS6698",""
"6724","src_asn_hosting_","STRATO AG",""
"6939","src_asn_hosting_","Hurricane Electric",""
"7040","src_asn_hosting_","Netminders Server Hosting",""
"7162","src_asn_hosting_","Scala Data Centers (Upstream AS)",""
"7203","src_asn_hosting_","LeaseWeb USA  / SFO-12",""
"7488","src_asn_hosting_","CNSERVER LLC",""
"7489","src_asn_hosting_","HostUS",""
"7506","src_asn_hosting_","GMO Internet Inc.",""
"7628","src_asn_hosting_","CorpCloud",""
"7720","src_asn_hosting_","Skywolf Cloud",""
"7979","src_asn_hosting_","SERVERS.COM",""
"8075","src_asn_hosting_","Microsoft",""
"8100","src_asn_hosting_","QuadraNet",""
"8283","src_asn_hosting_","Netwerkvereniging ColoClue",""
"8369","src_asn_hosting_","Intersvyaz",""
"8477","src_asn_hosting_","Echostar Studio Sp. z o.o.",""
"8560","src_asn_hosting_","IONOS SE",""
"8646","src_asn_hosting_","cloudinfrastack",""
"8860","src_asn_hosting_","Delta Cloud",""
"8972","src_asn_hosting_","Host Europe GmbH",""
"9009","src_asn_hosting_","M247",""
"9028","src_asn_hosting_","OHOST",""
"9063","src_asn_hosting_","VSE NET GmbH",""
"9087","src_asn_hosting_","Rackdog LLC",""
"9115","src_asn_hosting_","Hostopia a HostPapa Inc. company [Europe]",""
"9123","src_asn_hosting_","JSC TimeWeb",""
"9186","src_asn_hosting_","OniTelecom",""
"9287","src_asn_hosting_","True Internet Data Center Thailand",""
"9294","src_asn_hosting_","GNET INC.",""
"9318","src_asn_hosting_","SK Broadband",""
"9335","src_asn_hosting_","NT(CAT) Data Center",""
"9381","src_asn_hosting_","HKBNES",""
"9430","src_asn_hosting_","Software Technology Parks of IndiaBlock-IV",""
"9465","src_asn_hosting_","AGOTOZ PTE. LTD.",""
"9583","src_asn_hosting_","Sify Technologies Limited",""
"9678","src_asn_hosting_","HostingInside LTD",""
"9952","src_asn_hosting_","Hostway IDC",""
"10439","src_asn_hosting_","CARI.net - Fiber Alley Data Centers",""
"10929","src_asn_hosting_","eStruxture AS10929",""
"11179","src_asn_hosting_","Aryaka Networks",""
"11320","src_asn_hosting_","LightEdge Solutions",""
"11426","src_asn_hosting_","Charter Communications Inc",""
"11767","src_asn_hosting_","QTS Miami",""
"11878","src_asn_hosting_","TZULO",""
"35382","src_asn_hosting_","Glesys",""
"11989","src_asn_hosting_","HostPapa",""
"12025","src_asn_hosting_","Iron Mountain Data Centers (fka IO Data Centers)",""
"12342","src_asn_hosting_","Brack.ch AG",""
"12389","src_asn_hosting_","Rostelecom",""
"12417","src_asn_hosting_","Plus Hosting Grupa d.o.o.",""
"12462","src_asn_hosting_","Evolutio Cloud Enabler S.A. Unipersonal",""
"12488","src_asn_hosting_","Krystal Hosting",""
"12552","src_asn_hosting_","GlobalConnect AS12552",""
"12555","src_asn_hosting_","IMAQLIQ",""
"12586","src_asn_hosting_","GHOSTnet",""
"12601","src_asn_hosting_","Cegedim.Cloud SASU",""
"12637","src_asn_hosting_","Seeweb",""
"12695","src_asn_hosting_","CJSC Digital Network",""
"12722","src_asn_hosting_","RECONN",""
"12731","src_asn_hosting_","IPHH Internet Port Hamburg GmbH",""
"12824","src_asn_hosting_","home.pl S.A.",""
"12876","src_asn_hosting_","Scaleway",""
"12989","src_asn_hosting_","BlackHOST",""
"13030","src_asn_hosting_","Init7",""
"13188","src_asn_hosting_","Triolan ISP",""
"13213","src_asn_hosting_","UK2Group",""
"13335","src_asn_hosting_","Cloudflare",""
"13378","src_asn_hosting_","QINGYE-CLOUD",""
"13645","src_asn_hosting_","365 Data Centers (Host.net)",""
"13737","src_asn_hosting_","Interconnecx LLC",""
"13768","src_asn_hosting_","Aptum Technologies",""
"13830","src_asn_hosting_","PureVoltage Hosting (Nexril)",""
"13845","src_asn_hosting_","eStruxture AS13845",""
"13984","src_asn_hosting_","SD Data Center",""
"14061","src_asn_hosting_","DigitalOcean",""
"14230","src_asn_hosting_","Involta",""
"14315","src_asn_hosting_","1GServers",""
"14576","src_asn_hosting_","King Servers",""
"14586","src_asn_hosting_","Nuclearfallout Enterprises ASN 14586",""
"14618","src_asn_hosting_","Amazon AES",""
"14670","src_asn_hosting_","hosting.com USE1",""
"14713","src_asn_hosting_","Hosted Backbone",""
"14956","src_asn_hosting_","RouterHosting LLC",""
"14987","src_asn_hosting_","Rethem Hosting LLC",""
"15162","src_asn_hosting_","Netminders Server Hosting",""
"15169","src_asn_hosting_","Google LLC",""
"15395","src_asn_hosting_","Rackspace Ltd.",""
"15440","src_asn_hosting_","Baltnetos Komunikacijos Customers",""
"15510","src_asn_hosting_","CWCS Managed Hosting",""
"15589","src_asn_hosting_","Retelit S.p.A. (formerly Clouditalia)",""
"15598","src_asn_hosting_","NorthC Germany",""
"15703","src_asn_hosting_","TrueServer",""
"15830","src_asn_hosting_","Equinix as15830",""
"15919","src_asn_hosting_","Servicios de Hosting en Internet S.A.",""
"16003","src_asn_hosting_","Fornex Hosting - Netherlands",""
"16045","src_asn_hosting_","BULINFO HOSTING",""
"16125","src_asn_hosting_","Cherry Servers",""
"16210","src_asn_hosting_","WIIT AS16210",""
"16276","src_asn_hosting_","OVHcloud",""
"16417","src_asn_hosting_","HPS // Cisco Cloud Email Security (CES) / IronPort",""
"16509","src_asn_hosting_","Amazon.com",""
"16554","src_asn_hosting_","Cloud Source Inc.",""
"16611","src_asn_hosting_","INFINIAHOST",""
"17077","src_asn_hosting_","Broadcast Networks",""
"17426","src_asn_hosting_","Primenet Global Ltd",""
"17476","src_asn_hosting_","CloudRadium(HK)",""
"17561","src_asn_hosting_","LARUS Limited",""
"17621","src_asn_hosting_","China Unicom Shanghai Network",""
"17762","src_asn_hosting_","Tata Teleservices (Maharastra)",""
"17881","src_asn_hosting_","Inet Hosting Inc.",""
"18229","src_asn_hosting_","CtrlS Datacenters",""
"18345","src_asn_hosting_","Servers Australia Customers",""
"18501","src_asn_hosting_","CyberCloud Professionals LLC",""
"18779","src_asn_hosting_","Energy Group Networks",""
"19148","src_asn_hosting_","LiveWorld Inc",""
"19186","src_asn_hosting_","GMCHOSTING",""
"19318","src_asn_hosting_","InterServer",""
"19437","src_asn_hosting_","SECURED SERVERS LLC",""
"19527","src_asn_hosting_","Google LLC AS19527",""
"19853","src_asn_hosting_","OrangeHost",""
"19871","src_asn_hosting_","Network Solutions LLC",""
"19905","src_asn_hosting_","UltraDDoS Protect",""
"19969","src_asn_hosting_","Patmos Network",""
"19994","src_asn_hosting_","Rackspace Hosting",""
"20068","src_asn_hosting_","Hawk Host",""
"20454","src_asn_hosting_","SECURED SERVERS LLC",""
"20473","src_asn_hosting_","The Constant Company",""
