"asn","match_name","organization","comment"
"209","src_asn_isp_","Lumen AS209",""
"701","src_asn_isp_","Verizon",""
"803","src_asn_isp_","Saskatchewan Telecommunications",""
"852","src_asn_isp_","TELUS Communications",""
"996","src_asn_isp_","JY Mobile Communications",""
"1136","src_asn_isp_","KPN NL",""
"1221","src_asn_isp_","Telstra Corporation Ltd",""
"1257","src_asn_isp_","TELE2",""
"1267","src_asn_isp_","WINDTRE",""
"1299","src_asn_isp_","Arelion (Twelve99)",""
"1378","src_asn_isp_","Interbel Telephone Cooperative Inc.",""
"1640","src_asn_isp_","Thacker-Grigsby Communications",""
"1729","src_asn_isp_","Telia Company AB",""
"1759","src_asn_isp_","Telia Finland",""
"1764","src_asn_isp_","next layer",""
"1767","src_asn_isp_","Indiana Higher Education Telecommunication System (IHETS)",""
"1820","src_asn_isp_","Wnet Telecom USA",""
"2027","src_asn_isp_","MilkyWan",""
"2119","src_asn_isp_","Telenor (Norway/Sweden)",""
"2585","src_asn_isp_","Optic Telecom LLC",""
"2606","src_asn_isp_","Wifiber.es",""
"2609","src_asn_isp_","Tunisie Telecom",""
"2615","src_asn_isp_","Bechtel",""
"2731","src_asn_isp_","Horizon Telcom",""
"2840","src_asn_isp_","Stiftelsen Goteborgs Studentbostader",""
"2856","src_asn_isp_","BTnet (BT's UK IP Network - AS2856)",""
"3165","src_asn_isp_","Przedsiebiorstwo Telekomunikacyjne LANET sp. z o.o.",""
"3188","src_asn_isp_","Alastyr Telekomunikasyon",""
"3209","src_asn_isp_","Vodafone Germany",""
"3212","src_asn_isp_","Telemach Slovenia",""
"3215","src_asn_isp_","Orange France",""
"3216","src_asn_isp_","VimpelCom",""
"3249","src_asn_isp_","Telia Eesti",""
"3269","src_asn_isp_","Telecom Italia S.p.a.",""
"3300","src_asn_isp_","British Telecom GIIB",""
"3301","src_asn_isp_","Telia Sweden",""
"3302","src_asn_isp_","Retelit S.p.A.",""
"3303","src_asn_isp_","Swisscom",""
"3308","src_asn_isp_","Telia Denmark",""
"3320","src_asn_isp_","Deutsche Telekom",""
"3327","src_asn_isp_","CITIC Telecom CPC Netherlands",""
"3329","src_asn_isp_","VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA",""
"3330","src_asn_isp_","eww ag / ITandTEL AS3330",""
"3339","src_asn_isp_","FIBRAWORLD TELECOM S.A.U. AS3339",""
"3352","src_asn_isp_","Telefonica de España",""
"3356","src_asn_isp_","Lumen AS3356",""
"3462","src_asn_isp_","HiNet",""
"3695","src_asn_isp_","SPM TELECOM",""
"3737","src_asn_isp_","PenTeleData",""
"3748","src_asn_isp_","Electronics and Telecommunications Research Institute",""
"3816","src_asn_isp_","COLOMBIA TELECOMUNICACIONES S.A. ESP",""
"3848","src_asn_isp_","WorldLinx Telecommunications Inc.",""
"3853","src_asn_isp_","Whidbey Telephone Company",""
"4058","src_asn_isp_","CITIC Telecom International CPC Limited",""
"4134","src_asn_isp_","China Telecom",""
"4181","src_asn_isp_","TDS Telecom",""
"4230","src_asn_isp_","Claro",""
"4497","src_asn_isp_","Upsala Co-operative Telephone Association",""
"4540","src_asn_isp_","Sogetel",""
"4581","src_asn_isp_","Socket Telecom LLC",""
"4637","src_asn_isp_","Telstra (International)",""
"4638","src_asn_isp_","Telecom Fiji AS4638",""
"4651","src_asn_isp_","NT(CAT) IIG",""
"4725","src_asn_isp_","Softbank Corp. (former Japan Telecom)",""
"4760","src_asn_isp_","HKT Limited",""
"4761","src_asn_isp_","Indosat Ooredoo",""
"4766","src_asn_isp_","KT Corporation (Korea Telecom)",""
"4775","src_asn_isp_","Globe Telecom",""
"4780","src_asn_isp_","New Century InfoComm Tech Co.Ltd.",""
"4782","src_asn_isp_","Chunghwa Telecom Co. AS4782",""
"4788","src_asn_isp_","Telekom Malaysia Berhad (TM)",""
"4800","src_asn_isp_","Lintasarta",""
"4804","src_asn_isp_","Optus Internet",""
"4808","src_asn_isp_","China Unicom Beijing Province Network",""
"4809","src_asn_isp_","China Telecom / CN2",""
"4811","src_asn_isp_","China Telecom (Group)",""
"4812","src_asn_isp_","China Telecom (Group)",""
"4816","src_asn_isp_","CHINANET-IDC-GD",""
"4817","src_asn_isp_","SIMBA Telecom",""
"4821","src_asn_isp_","Sinergi Semesta Telematika",""
"4835","src_asn_isp_","China Telecom (Group)",""
"4837","src_asn_isp_","China Unicom",""
"4922","src_asn_isp_","Shentel Service Company",""
"4983","src_asn_isp_","Intel Corporation",""
"5391","src_asn_isp_","Croatian Telecom",""
"5400","src_asn_isp_","BT",""
"5410","src_asn_isp_","Bouygues Telecom ISP",""
"5416","src_asn_isp_","Batelco",""
"5425","src_asn_isp_","Primetel PLC",""
"5432","src_asn_isp_","Proximus",""
"5467","src_asn_isp_","MIPT-Telecom",""
"5483","src_asn_isp_","Magyar Telekom plc.",""
"5518","src_asn_isp_","Telia Latvija SIA",""
"5523","src_asn_isp_","CREDO-TELECOM",""
"5547","src_asn_isp_","Orient-Telecom",""
"5573","src_asn_isp_","PJSC Rostelecom",""
"5588","src_asn_isp_","T-Mobile CZ AS5588",""
