"kind","match_name","fingerprint","clients"
"ja4","","t13i1311h1_f57a46bbacb6_ab7e3b40a677","S-Scanner"
"ja4","","t13d781000_ab95583b6d39_f7ecb151581b","Nmap"
"ja4","","t13d751100_479067518aa3_f7ecb151581b","Nmap"
"ja4","","t13d1312h1_f57a46bbacb6_ab7e3b40a677","S-Scanner"
"ja4","","t13d1310h1_f57a46bbacb6_e7c285222651","S-Scanner"
"ja4","","t13d311100_e8f1e7e78f70_fa1de7f1023a","ctE28091gitE28091scanner"
"ja4","","t12d870900_72303a6ce03a_0d85039c20ed","Nmap"
"ja4","","t12d840800_bd790527ddab_c4f8f054a200","sqlmap"
"ja4","","t12d840800_bd790527ddab_a9cca239c6e0","sqlmap"
"ja4","","t12d781000_ab95583b6d39_f7ecb151581b","Nmap"
"ja4","","t12d751000_479067518aa3_f7ecb151581b","Nmap|Odin"

