"organization","match_name","url","format","jsonpath_rfc9535","jsonpath_jq","regex","csv_field","plain","docs_url"
"Google","src_net_crawler_google_common","https://developers.google.com/static/search/apis/ipranges/googlebot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers"
"Google","src_net_crawler_google_special","https://developers.google.com/static/search/apis/ipranges/special-crawlers.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://developers.google.com/crawling/docs/crawlers-fetchers/google-special-case-crawlers"
"Google","src_net_crawler_google_user1","https://developers.google.com/static/search/apis/ipranges/user-triggered-fetchers.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://developers.google.com/crawling/docs/crawlers-fetchers/google-user-triggered-fetchers"
"Google","src_net_crawler_google_user2","https://developers.google.com/static/search/apis/ipranges/user-triggered-fetchers-google.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://developers.google.com/crawling/docs/crawlers-fetchers/google-user-triggered-fetchers"
"Microsoft","src_net_crawler_microsoft_bing","https://www.bing.com/toolbox/bingbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://developers.google.com/crawling/docs/crawlers-fetchers/google-user-triggered-fetchers"
"Apple","src_net_crawler_apple","https://search.developer.apple.com/applebot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://support.apple.com/en-us/119829"
"DuckDuckGo","src_net_crawler_duckduckgo_search","https://duckduckgo.com/duckduckbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://duckduckgo.com/duckduckgo-help-pages/results/duckduckbot"
"Seekport","src_net_crawler_seekport","https://bot.seekport.com/seekportbot_ips.txt","nlsv","","","","","","https://bot.seekport.com/"
"Qwant","src_net_crawler_qwant","https://help.qwant.com/wp-content/uploads/sites/latest/qwantbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://help.qwant.com/bot/"
"CommonCrawl","src_net_crawler_commoncrawl","https://index.commoncrawl.org/ccbot.json","json","$.prefixes.*['ipv4Prefix','ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://commoncrawl.org/ccbot"
"AHrefs","src_net_crawler_ahrefs","https://api.ahrefs.com/v3/public/crawler-ip-ranges","json","$.prefixes.*['ipv4Prefix', 'ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://help.ahrefs.com/en/articles/78658-what-is-the-list-of-your-ip-ranges"
"Amazon","src_net_crawler_amazon_user","https://developer.amazon.com/amazonbot/live-ip-addresses/","regex-json","$.prefixes.*['ipv4Prefix', 'ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","(?s)<pre><code class=""container"">(\{.*?\})<\/code><\/pre>","","","Does not seem like they have/use an API for it.. :'( https://developer.amazon.com/amazonbot"
"Telegram","src_net_crawler_telegram","https://core.telegram.org/resources/cidr.txt","nlsv","","","","","",""
"Mojeek","src_net_crawler_mojeek","https://www.mojeek.com/mojeekbot.json","json","$.prefixes.*['ipv4Prefix', 'ipv6Prefix']","[.prefixes[] | .ipv4Prefix, .ipv6Prefix | select( . != null )]","","","","https://www.mojeek.com/bot.html"
"Observer","src_net_crawler_observer","","plain","","","","","49.12.129.34/32|138.201.17.94/32|157.90.32.238/32|95.217.57.136/32","https://obsrvr.net/"
