"organization","match_name","ptr_end","docs_url"
"Deutsche Telekom AG","ptr_isp_de_telekom",".customers.d1-online.com|.t-ipconnect.de",""
"Play.pl","ptr_isp_pl_playint",".play-internet.pl",""
"Telemach","ptr_isp_hr_telemach",".telemach.net",""
"SFR","ptr_isp_fr_sfr",".rev.sfr.net",""
"Telekom Austria","ptr_isp_at_telekom",".highway.telekom.at",""
"1&1 Versatel","ptr_isp_de_versatel",".versanet.de",""
"KPN","ptr_isp_nl_kpn",".kpn.net",""
"Wanadoo","ptr_isp_fr_wanadoo",".abo.wanadoo.fr",""
"Glasoperator","ptr_isp_nl_glasoperator",".glasoperator.nl",""
"Proximus","ptr_isp_be_belgacom",".isp.belgacom.be",""
"MyNet.it","ptr_isp_it_mynet",".mynet.it",""
"Yettel","ptr_isp_hu_yettel",".pool.yettel.hu",""
"O2","ptr_isp_cz_o2",".o2.cz",""
"?","ptr_isp_unknown_rcn",".rcncustomer.com",""
