organization,match_name,user_agent_sub,docs_url
Google,http_user_agent_crawler_google_aidata1,Google-Extended,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-extended
Google,http_user_agent_crawler_google_aidata2,Google-LLM-Research,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-extended
Google,http_user_agent_crawler_google_aiuser1,Google-CloudVertexBot,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-cloudvertexbot
Google,http_user_agent_crawler_google_aiuser2,GoogleAI-ContentFetcher,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-cloudvertexbot
Google,http_user_agent_crawler_google_aidata3,Gemini-Deep-Research,https://gemini.google/overview/deep-research/
OpenAI,http_user_agent_crawler_openai_search,OAI-SearchBot,https://platform.openai.com/docs/bots
OpenAI,http_user_agent_crawler_openai_user,ChatGPT-User,https://platform.openai.com/docs/bots
OpenAI,http_user_agent_crawler_openai_aidata,GPTBot,https://platform.openai.com/docs/bots
Apple,http_user_agent_crawler_applebot_extended,Applebot-Extended,https://support.apple.com/en-us/119829
Amazon,http_user_agent_crawler_amazon_main,Amazonbot,https://developer.amazon.com/amazonbot
Anthropic,http_user_agent_crawler_anthropic,anthropic.com,
Perplexity,http_user_agent_crawler_perplexity_user,Perplexity-User,https://docs.perplexity.ai/guides/bots
Perplexity,http_user_agent_crawler_perplexity_aidata,perplexity.ai,https://docs.perplexity.ai/guides/bots
Meta,http_user_agent_crawler_meta_aidata,meta-externalagent,
Alibaba,http_user_agent_crawler_alibaba_aidata,AliyunSecBot,
DuckDuckGo,http_user_agent_crawler_duckduckgo_aiuser,DuckAssistBot/,https://duckduckgo.com/duckduckgo-help-pages/results/duckassistbot
Exa-AI,http_user_agent_crawler_exa_aisearch,/exa.ai,https://exa.ai
Mistral-AI,http_user_agent_crawler_mistral_user,MistralAI-User,https://docs.mistral.ai/robots
Cohere-AI,http_user_agent_crawler_cohere_ai,cohere-ai,
