organization,match_name,user_agent_sub,docs_url
Google,http_user_agent_crawler_google_search,Googlebot/,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,http_user_agent_crawler_google_image,Googlebot-Image,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,http_user_agent_crawler_google_video,Googlebot-Video,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,http_user_agent_crawler_google_ads1,AdsBot-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-special-case-crawlers
Google,http_user_agent_crawler_google_ads2,Mediapartners-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-special-case-crawlers
Google,http_user_agent_crawler_google_store,Storebot-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,http_user_agent_crawler_google_fallback,Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Microsoft,http_user_agent_crawler_microsoft_bing,Bingbot/,https://www.bing.com/bingbot.htm
Microsoft,http_user_agent_crawler_microsoft_msn,msnbot/,http://search.msn.com/msnbot.htm
Amazon,http_user_agent_crawler_amazon_user,AMZN-User,https://developer.amazon.com/amazonbot
Geedo,http_user_agent_crawler_geedo,geedo.com,
Meta,http_user_agent_crawler_meta_ads,meta-externalads,
Meta,http_user_agent_crawler_meta_user,facebookexternalhit,
Meta,http_user_agent_crawler_meta_facebook,facebook.com,
Idealo,http_user_agent_crawler_idealo_com,idealo.com,
Idealo,http_user_agent_crawler_idealo_de,idealo.de,
Geizhals,http_user_agent_crawler_geizhals,geizhals.at,
Seznam,http_user_agent_crawler_seznam,o-seznam.cz,
Pinterest,http_user_agent_crawler_pinterest,pinterest.com,
Babbar,http_user_agent_crawler_babbar,babbar.tech,
Ibou,http_user_agent_crawler_ibou,ibou.io,
Awario,http_user_agent_crawler_awario,/awario.com,
MJ12,http_user_agent_crawler_mj12,mj12bot.com,
Tiktok,http_user_agent_crawler_tiktok,tiktok.com,
Bytedance,http_user_agent_crawler_bytedance,bytedance.com,
Apple,http_user_agent_crawler_applebotextended #TODO,Applebot/,https://support.apple.com/en-us/119829
Nokia,http_user_agent_crawler_nokia_genome,www.nokia.com/genomecrawler #TODO,https://www.nokia.com/genomecrawler/
2ip,http_user_agent_crawler_2ip,/2ip.io,
Ayeh,http_user_agent_crawler_ayeh,/ayeh.io,https://ayeh.io/about
Cert.at,http_user_agent_crawler_certat,www.cert.at,https://www.cert.at/about/consec/content.html
Domainstats,http_user_agent_crawler_domainstats,/domainstats.com,https://domainstats.com/pages/our-bot
DuckDuckGo,http_user_agent_crawler_duckduckgo_search #TODO,DuckDuckGo/,https://duckduckgo.com/duckduckgo-help-pages/results/duckassistbot
Fynd,http_user_agent_crawler_fynd,/fynd.bot,https://fynd.bot
Grammarly,http_user_agent_crawler_grammarly,Grammarly/,https://www.grammarly.com
Iframely,http_user_agent_crawler_iframely,Iframely/,https://iframely.com/docs/about
Jugendschutzprogramm,http_user_agent_crawler_jugendschutzprogramm,jugendschutzprogramm.de,https://www.jugendschutzprogramm.de
Semantic Scholar,http_user_agent_crawler_semanticscholar,/www.semanticscholar.org,https://www.semanticscholar.org/crawler
AhrefsBot,http_user_agent_crawler_ahrefs,/ahrefs.com,https://ahrefs.com/robot/
SE Ranking,http_user_agent_crawler_seranking,seranking.com,https://help.seranking.com/en/blex-crawler
Censys,http_user_agent_crawler_censys,CensysInspect/,https://about.censys.io/
DataForSeo,http_user_agent_crawler_dataforseo,DataForSeoBot/,https://dataforseo.com/dataforseo-bot
Dataprovider,http_user_agent_crawler_dataprovider,Dataprovider.com,https://www.dataprovider.com/spider/
Moz DotBot,http_user_agent_crawler_opensiteexplorer,opensiteexplorer.org/,https://moz.com/link-explorer
driftnet,http_user_agent_crawler_internetmeasure,internet-measurement.com,https://internet-measurement.com/
ORT,http_user_agent_crawler_ortc,ORTc.me,https://ortc.me
Qwant,http_user_agent_crawler_qwant,Qwantbot/,https://help.qwant.com/bot/
SaaSBrowser,http_user_agent_crawler_saasbrowser,saasbrowser.com,https://saasbrowser.com/bot/
Seekport,http_user_agent_crawler_seekport,bot.seekport.com,https://bot.seekport.com/
Semrush,http_user_agent_crawler_semrush,https://www.semrush.com/bot.html
Yahoo,http_user_agent_crawler_yahoo,Yahoo! Slurp,http://help.yahoo.com/help/us/ysearch/slurp
Yandex,http_user_agent_crawler_yandex_user,YandexUserproxy,http://yandex.com/bots
Yandex,http_user_agent_crawler_yandex,yandex.com,http://yandex.com/bots
Archive.org,http_user_agent_crawler_archiveorg,archive.org,http://archive.org/details/archive.org_bot
Huawei,http_user_agent_crawler_huawei_petalsearch,petalsearch.com,https://webmaster.petalsearch.com/site/petalbot
Brave,http_user_agent_crawler_brave_search,search.brave.com,https://search.brave.com/help/brave-search-crawler
OpenIntel,http_user_agent_crawler_openintel,openintel.nl,https://openintel.nl/webcrawl/
w3.org,http_user_agent_crawler_w3org_p3p,P3P Validator,https://www.w3.org/P3P/validator.html
w3.org,http_user_agent_crawler_w3org_w3c,W3C_Validator/,https://validator.w3.org/
Slack,http_user_agent_crawler_slack,api.slack.com,https://api.slack.com/robots
GitHub,http_user_agent_crawler_github_camo,github-camo,
Repology,http_user_agent_crawler_repology,repology.org,https://repology.org/docs/bots
Serpstat,http_user_agent_crawler_serpastat,serpstatbot.com,https://serpstatbot.com/
Omigili,http_user_agent_crawler_omigili,Omigili,http://buzz.omgili.com/about.html
