"notes","match_name","user_agent_sub","docs_url"
".net","http_user_agent_script_dotnet_httpcli",".NET HttpClient",""
"Java","http_user_agent_script_java_apachehttpcli","Apache-HttpClient",""
"Java","http_user_agent_script_java_generic","Java",""
"Apple","http_user_agent_script_apple_cfnet","CFNetwork",""
"Apple","http_user_agent_script_apple_netext","NetworkingExtension",""
"Java","http_user_agent_script_java_asynchttpcli","AsyncHttpClient",""
"JS","http_user_agent_script_js_deno","Deno/",""
"Golang","http_user_agent_script_go","Go-http-client",""
"PHP","http_user_agent_script_php_guzzle","Guzzle/",""
"PHP","http_user_agent_script_php_guzzlehttp","GuzzleHttp/",""
"PHP","http_user_agent_script_php_crawl","phpcrawl",""
"PHP","http_user_agent_script_php_zend","Zend_Http_Client",""
"PHP","http_user_agent_script_php_symfony","Symfony-HttpClient",""
"Curl","http_user_agent_script_curl","curl",""
"Postman","http_user_agent_script_postman","PostmanRuntime/",""
"PowerShell","http_user_agent_script_win_ps","PowerShell/",""
"Wget","http_user_agent_script_wget","Wget",""
"JS","http_user_agent_script_js_axios","axios/",""
"Go","http_user_agent_script_go_resty","go-resty/","https://github.com/go-resty/resty"
"JS","http_user_agent_script_js_got","github.com/sindresorhus/got","https://github.com/sindresorhus/got"
"Go","http_user_agent_script_go_grpcurl","grpcurl/","https://github.com/fullstorydev/grpcurl"
"Go","http_user_agent_script_go_quic","quic-go",""
"Ruby","http_user_agent_script_rb_restcli","ruby-rest-client/",""
"Ruby","http_user_agent_script_rb_httprb","http.rb/","https://github.com/httprb/http"
"Ruby","http_user_agent_script_rb","ruby/",""
"Perl","http_user_agent_script_perl_libwww","libwww-perl/",""
"Perl","http_user_agent_script_perl","perl/",""
"JS","http_user_agent_script_js_nodefetch","node-fetch","https://github.com/node-fetch/node-fetch"
"Kotlin","http_user_agent_script_kt_okhttp","okhttp/",""
"Python","http_user_agent_script_py_urllib","urllib/",""
"Python","http_user_agent_script_py_aiohttp","aiohttp/",""
"Python","http_user_agent_script_py_httpx","python-httpx/",""
"Python","http_user_agent_script_py_req","python-requests/",""
"Python","http_user_agent_script_py_urllib","python-urllib",""
"Python","http_user_agent_script_py_httpcore","httpcore",""
"Python","http_user_agent_script_py_httputil","httputil",""
"Python","http_user_agent_script_py_scrapy","scrapy",""
"OpenSSL","http_user_agent_script_openssl","OpenSSL",""
"Golang","http_user_agent_script_go_grpc","grpc-go",""
"Golang","http_user_agent_script_go_colly","colly",""
"C++","http_user_agent_script_cpp","cpp-httplib",""
"Java","http_user_agent_script_java_nutch","Nutch","https://nutch.apache.org/"
