"software","match_name","user_agent_sub","docs_url"
"Akkoma","http_user_agent_software_akkoma","Akkoma","https://akkoma.dev/AkkomaGang/akkoma/"
"Ansible","http_user_agent_software_ansible","Ansible","https://www.ansible.com"
"AnyConnect","http_user_agent_software_vpn_anyconnect","AnyConnect",""
"Dell SonicWALL NetExtender","http_user_agent_software_vpn_sonicwall","Dell SonicWALL NetExtender",""
"Discord","http_user_agent_software_discord","Discord/",""
"Friendica","http_user_agent_software_social_friendica","Friendica/",""
"Mastodon","http_user_agent_software_social_mastodon","Mastodon/",""
"WhatsApp","http_user_agent_software_whatsapp","WhatsApp/",""
"WordPress","http_user_agent_software_worpress","WordPress/",""
"Ansible ARA","http_user_agent_software_ansible_ara","ara-http-client",""
"AWS-CLI","http_user_agent_software_awscli","aws-cli/",""
"Git","shttp_user_agent_software_git","git/",""
"Headless Chrome","http_user_agent_software_headless","headless",""
"Cypress Automation Tool","http_user_agent_software_cypress","cypress",""
"ZGrab","http_user_agent_software_zgrab","zgrab",""
"ELinks","http_user_agent_software_elinks","ELinks",""
"ImageVacuum","http_user_agent_software_imagevacuum","ImageVacuum",""
"MechanicalSoup","http_user_agent_software_mechanicalsoup","MechanicalSoup",""
"WhatsApp","http_user_agent_software_whatsapp","WhatsApp",""
"DuckDuckGo App","http_user_agent_software_duckduckgo_app","duckduckgo.mobile.android",""
"MacOS Password-Manger","http_user_agent_software_macos_pwd","Passwords/",""
"Chrome-Lighthouse","http_user_agent_software_google_chromelighthouse","Chrome-Lighthouse","https://developer.chrome.com/docs/lighthouse/overview"
