"timestamp","domain","client_ip","status","fingerprint_ja4","user_agent"
"2025-11-12T13:52:11.105000+01:00","b2466.test.oxl.app","185.132.187.239","301","t13d1812h1_85036bcba153_d41ae481755e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Brave/1.63.162 Chrome/122.0.6261.111 Safari/537.36"
"2025-11-12T13:52:11.109000+01:00","14b32.test.oxl.app","109.243.69.100","200","q13d0312h3_55b375c5d22e_151122171f7d","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15"
"2025-11-12T13:52:11.144000+01:00","7c8f2.test.oxl.app","213.55.221.232","200","q13d0311h3_55b375c5d22e_f2a83c8e78ae","Python requests someversion"
"2025-11-12T13:52:11.168000+01:00","7c8f2.test.oxl.app","66.249.83.65","200","t13d181300_e8a523a41297_43ade6aba3df","Mozilla/5.0 (X11; Linux x86_64; Storebot-Google/1.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
"2025-11-12T13:52:11.207000+01:00","3ebcc.test.oxl.app","52.205.141.124","200","t12d430700_1ce71f0edbb1_269097225c9f","Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36"
"2025-11-12T13:52:11.222000+01:00","3ebcc.test.oxl.app","114.119.156.140","200","t13d311100_e8f1e7e78f70_d41ae481755e","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
"2025-11-12T13:52:11.234000+01:00","b2466.test.oxl.app","185.132.187.72","200","t13d1812h1_85036bcba153_d41ae481755e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Brave/1.63.162 Chrome/122.0.6261.111 Safari/537.36"
"2025-11-12T13:52:11.240000+01:00","eb84e.test.oxl.app","116.204.8.140","200","t13i140900_cbb2034c60b8_e7c285222651","This is a very serious browser!"
"2025-11-12T13:52:11.243000+01:00","17d5b.test.oxl.app","66.249.77.224","200","t13d181300_e8a523a41297_43ade6aba3df","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"2025-11-12T13:52:11.245000+01:00","14b32.test.oxl.app","31.13.127.187","200","t13d3111h2_e8f1e7e78f70_5ac7197df9d2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
