organization,flags,user_agent_sub,docs_url
Google,crawler|crawler_ai_data|org_google,Google-Extended,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-extended
Google,crawler|crawler_ai_data|org_google,Google-LLM-Research,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-extended
Google,crawler|crawler_user|crawler_ai_user|org_google,Google-CloudVertexBot,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-cloudvertexbot
Google,crawler|crawler_user|crawler_ai_user|org_google,GoogleAI-ContentFetcher,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers#google-cloudvertexbot
Google,crawler|crawler_user|crawler_ai_user|org_google,Gemini-Deep-Research,https://gemini.google/overview/deep-research/
OpenAI,crawler|crawler_search|crawler_ai_search|crawler_user|org_openai,OAI-SearchBot,https://platform.openai.com/docs/bots
OpenAI,crawler|crawler_user|crawler_ai_user|org_openai,ChatGPT-User,https://platform.openai.com/docs/bots
OpenAI,crawler|crawler_ai_data|org_openai,GPTBot,https://platform.openai.com/docs/bots
Apple,crawler|crawler_ai_data|org_openai,Applebot-Extended,https://support.apple.com/en-us/119829
Amazon,crawler|crawler_ai_data|org_amazon,Amazonbot,https://developer.amazon.com/amazonbot
Anthropic,crawler|crawler_ai_data|org_anthropic,anthropic.com,
Perplexity,crawler|crawler_user|crawler_ai_user|org_perplexity,Perplexity-User,https://docs.perplexity.ai/guides/bots
Perplexity,crawler|crawler_ai_data|org_perplexity,perplexity.ai,https://docs.perplexity.ai/guides/bots
Facebook,crawler|crawler_ai_data|org_facebook,meta-externalagent,
Alibaba,crawler|crawler_ai_data|org_alibaba,AliyunSecBot,
DuckDuckGo,crawler|crawler_ai_search|crawler_user|org_duckduckgo,DuckAssistBot/,https://duckduckgo.com/duckduckgo-help-pages/results/duckassistbot
Exa-AI,crawler|crawler_ai_search|org_exa,/exa.ai,https://exa.ai
Mistral-AI,crawler|crawler_user|crawler_ai_user|org_mistral,MistralAI-User,https://docs.mistral.ai/robots
