organization,flags,user_agent_sub,docs_url
Google,crawler|crawler_search|org_google,Googlebot/,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,crawler|crawler_search|org_google,Googlebot-Image,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,crawler|crawler_search|org_google,Googlebot-Video,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,crawler|crawler_ads|org_google,AdsBot-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-special-case-crawlers
Google,crawler|crawler_ads|org_google,Mediapartners-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-special-case-crawlers
Google,crawler|crawler_ecommerce|org_google,Storebot-Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Google,crawler|org_google,Google,https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers
Microsoft,crawler|crawler_search|org_microsoft,Bingbot/,https://www.bing.com/bingbot.htm
Microsoft,crawler|crawler_search|org_microsoft,msnbot/,http://search.msn.com/msnbot.htm
Amazon,crawler|crawler_user|org_amazon,AMZN-User,https://developer.amazon.com/amazonbot
Geedo,crawler|org_geedo,geedo.com,
Facebook,crawler|crawler_ads|crawler_socialmedia|org_facebook,meta-externalads,
Facebook,crawler|crawler_user|crawler_socialmedia|org_facebook,facebookexternalhit,
Facebook,crawler|crawler_socialmedia|org_facebook,facebook.com,
Idealo,crawler|crawler_ecommerce|org_idealo,idealo.com,
Idealo,crawler|crawler_ecommerce|org_idealo,idealo.de,
Geizhals,crawler|crawler_ecommerce|org_geizhals,geizhals.at,
Seznam,crawler,o-seznam.cz,
Pinterest,crawler|crawler_socialmedia|org_pinterest,pinterest.com,
Babbar,crawler,babbar.tech,
Ibou,crawler,ibou.io,
Awario,crawler|org_awario,/awario.com,
MJ12,crawler,mj12bot.com,
Tiktok,crawler|crawler_socialmedia|org_tiktok,tiktok.com,
Bytedance,crawler|crawler_ai_data|org_bytedance,bytedance.com,
Apple,crawler|org_apple,Applebot/,https://support.apple.com/en-us/119829
Nokia,crawler|org_nokia,www.nokia.com/genomecrawler,https://www.nokia.com/genomecrawler/
2ip,crawler,/2ip.io,
Ayeh,crawler|crawler_search,/ayeh.io,https://ayeh.io/about
Cert.at,crawler,www.cert.at,https://www.cert.at/about/consec/content.html
Cybaa,crawler|crawler_monitoring,/cybaa.io,https://cybaa.io
Better Uptime,crawler|crawler_monitoring,Better Uptime Bot,https://betterstack.com/docs/uptime/frequently-asked-questions/
Uptime Robot,crawler|crawler_monitoring,uptimerobot.com,https://uptimerobot.com/help/locations/
Domainstats,crawler|crawler_search,/domainstats.com,https://domainstats.com/pages/our-bot
DuckDuckGo,crawler|crawler_search|org_duckduckgo,DuckDuckGo/,https://duckduckgo.com/duckduckgo-help-pages/results/duckassistbot
Fynd,crawler|crawler_search,/fynd.bot,https://fynd.bot
Grammarly,crawler,Grammarly/,https://www.grammarly.com
Iframely,crawler|crawler_user,Iframely/,https://iframely.com/docs/about
Jugendschutzprogramm,crawler|crawler_compliance,jugendschutzprogramm.de,https://www.jugendschutzprogramm.de
Semantic Scholar,crawler|crawler_search,/www.semanticscholar.org,https://www.semanticscholar.org/crawler
AhrefsBot,crawler|crawler_search,/ahrefs.com,https://ahrefs.com/robot/
SE Ranking,crawler,seranking.com,https://help.seranking.com/en/blex-crawler
Censys,crawler|scanner,CensysInspect/,https://about.censys.io/
DataForSeo,crawler,DataForSeoBot/,https://dataforseo.com/dataforseo-bot
Dataprovider,crawler,Dataprovider.com,https://www.dataprovider.com/spider/
Moz DotBot,crawler,opensiteexplorer.org/,https://moz.com/link-explorer
Imagesift,crawler|crawler_search,imagesift.com,https://imagesift.com
driftnet,crawler|scanner,internet-measurement.com,https://internet-measurement.com/
ORT,crawler,ORTc.me,https://ortc.me
Qwant,crawler,Qwantbot/,https://help.qwant.com/bot/
SaaSBrowser,crawler|crawler_search,saasbrowser.com,https://saasbrowser.com/bot/
Seekport,crawler|crawler_search,bot.seekport.com,https://bot.seekport.com/
Semrush,crawler|scanner,semrush.com,https://www.semrush.com/bot.html
Yahoo,crawler|crawler_search|org_yahoo,Yahoo! Slurp,http://help.yahoo.com/help/us/ysearch/slurp
Yandex,crawler|crawler_user|org_yandex,YandexUserproxy,http://yandex.com/bots
Yandex,crawler|crawler_search|org_yandex,yandex.com,http://yandex.com/bots
Archive.org,crawler|crawler_archive|org_archive-org,archive.org,http://archive.org/details/archive.org_bot
Huawei,crawler|crawler_search|org_huawei,petalsearch.com,https://webmaster.petalsearch.com/site/petalbot
Brave,crawler|crawler_search|org_brave,search.brave.com,https://search.brave.com/help/brave-search-crawler
OpenIntel,crawler,openintel.nl,https://openintel.nl/webcrawl/
w3.org,crawler|crawler_user,P3P Validator,https://www.w3.org/P3P/validator.html
w3.org,crawler|crawler_user,W3C_Validator/,https://validator.w3.org/
Slack,crawler|org_slack,api.slack.com,https://api.slack.com/robots
GitHub,crawler|org_github,github-camo,
Repology,crawler,repology.org,https://repology.org/docs/bots
Serpstat,crawler,serpstatbot.com,https://serpstatbot.com/
Omigili,crawler,Omigili,http://buzz.omgili.com/about.html
Diffbot,crawler|crawler_provider,Diffbot,https://www.diffbot.com/products/crawl/
Apify,crawler|crawler_provider,apify,https://docs.apify.com/academy/anti-scraping
Imagesift,crawler,ImagesiftBot,https://imagesift.com/about
LinkedIn,crawler|crawler_socialmedia|org_linkedin,LinkedInBot,
AdsDefender,crawler,adsdefender,https://adsdefender.com
