software,flags,user_agent_sub
Akkoma,software_bot,https://akkoma.dev/AkkomaGang/akkoma/
Ansible,software_bot,https://www.ansible.com
AnyConnect,software_vpn,
Dell SonicWALL NetExtender,software_vpn,Dell SonicWALL NetExtender
Discord,software_bot,Discord/
Friendica,software_socialmedia,Friendica/
Mastodon,software_socialmedia,Mastodon/
Odin,software_bot|scanner,docs.getodin.com,https://docs.getodin.com/
WhatsApp,software_bot,WhatsApp/,
WordPress,software_bot|bot_script,WordPress/,
Ansible ARA,software_bot,ara-http-client,
AWS-CLI,software_bot,aws-cli/,
Git,software_bot,git/,
nmap,bot_script|scanner,nmap,
Metasploit,bot_script|scanner,Metasploit,
Headless Chrome,bot_script,headless,
Cypress Automation Tool,bot_script,cypress,
MechanicalSoup,bot_script|scanner,MechanicalSoup,
ZGrab,crawler|bot_script,zgrab,
ELinks,crawler|bot_script,ELinks,
ImageVacuum,crawler|bot_script,ImageVacuum,
